date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:54	153316/153316	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Jun%202026%2002:12:55%20GMT	https://loyalaw.com/	F:/Website/LoyaLaw/loyalaw/loyalaw.com/index.html	(from )
21:12:54	128/128	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Jun%202026%2002:12:54%20GMT	https://loyalaw.com/robots.txt		(from )
21:12:57	2128/2128	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Mar%202026%2016:24:32%20GMT	https://loyalaw.com/feed/	F:/Website/LoyaLaw/loyalaw/loyalaw.com/feed/index.html	(from https://loyalaw.com/)
21:12:57	2621/2621	---MCZ	200	added ('OK')	application/json	date:Sun,%2021%20Jun%202026%2002:12:57%20GMT	https://loyalaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Floyalaw.com%2F	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-json/oembed/1.0/embed7462.json	(from https://loyalaw.com/)
21:12:57	1620/1620	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Mar%202026%2016:24:32%20GMT	https://loyalaw.com/comments/feed/	F:/Website/LoyaLaw/loyalaw/loyalaw.com/comments/feed/index.html	(from https://loyalaw.com/)
21:12:58	2823/2823	---MCZ	200	added ('OK')	text/xml	date:Sun,%2021%20Jun%202026%2002:12:58%20GMT	https://loyalaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Floyalaw.com%2F&format=xml	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-json/oembed/1.0/embede27c	(from https://loyalaw.com/)
21:12:58	6108/6108	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Jun%202026%2002:12:59%20GMT	https://use.typekit.net/zup3nmm.css	F:/Website/LoyaLaw/loyalaw/use.typekit.net/zup3nmm.css	(from https://loyalaw.com/)
21:12:58	5456/5456	---MCZ	200	added ('OK')	text/css	etag:W/%22690cbcbe-1550%22	https://loyalaw.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.5	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/themes/hello-elementor/assets/css/reset4c8b.css	(from https://loyalaw.com/)
21:12:59	5097/5097	---MCZ	200	added ('OK')	text/css	etag:W/%22690cbcbe-13e9%22	https://loyalaw.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.5	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/themes/hello-elementor/assets/css/theme4c8b.css	(from https://loyalaw.com/)
21:12:59	7182/7182	---MCZ	200	added ('OK')	text/css	etag:W/%22690cbcbe-1c0e%22	https://loyalaw.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.5	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/themes/hello-elementor/assets/css/header-footer4c8b.css	(from https://loyalaw.com/)
21:12:59	54838/54838	---MCZ	200	added ('OK')	text/css	etag:W/%226a361e47-d636%22	https://loyalaw.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1781931591	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/uploads/elementor/css/custom-frontend.min656b.css	(from https://loyalaw.com/)
21:12:59	3798/3798	---MCZ	200	added ('OK')	text/css	etag:W/%226a361e47-ed6%22	https://loyalaw.com/wp-content/uploads/elementor/css/post-8.css?ver=1781931591	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/uploads/elementor/css/post-8656b.css	(from https://loyalaw.com/)
21:12:59	214/214	---MCZ	200	added ('OK')	text/css	etag:W/%226a317480-d6%22	https://loyalaw.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=4.1.3	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/plugins/elementor/assets/css/widget-image.mina352.css	(from https://loyalaw.com/)
21:13:00	27320/27320	---MCZ	200	added ('OK')	text/css	etag:W/%226a361e47-6ab8%22	https://loyalaw.com/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min.css?ver=1781931591	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/uploads/elementor/css/custom-pro-widget-nav-menu.min656b.css	(from https://loyalaw.com/)
21:13:00	560/560	---MCZ	200	added ('OK')	text/css	etag:W/%226a317480-230%22	https://loyalaw.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=4.1.3	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/plugins/elementor/assets/css/widget-heading.mina352.css	(from https://loyalaw.com/)
21:13:00	5110/5110	---MCZ	200	added ('OK')	text/css	etag:W/%226a317480-13f6%22	https://loyalaw.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=4.1.3	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/plugins/elementor/assets/css/widget-social-icons.mina352.css	(from https://loyalaw.com/)
21:13:00	6713/6713	---MCZ	200	added ('OK')	text/css	etag:W/%226a361e47-1a39%22	https://loyalaw.com/wp-content/uploads/elementor/css/custom-apple-webkit.min.css?ver=1781931591	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/uploads/elementor/css/custom-apple-webkit.min656b.css	(from https://loyalaw.com/)
21:13:01	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%226a317481-82%22	https://loyalaw.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=4.1.3	F:/Website/LoyaLaw/loyalaw/loyalaw.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.mina352.css	(from https://loyalaw.com/)
